aic,description,spend_eur,resolved,confidence,method,unresolved_category,units,content_per_unit_mg,total_content_mg,source_note
044885046,DARZALEX*SC 1FL 15ML 120MG/ML,26726877.13,True,Validated,parsed:vol_conc,,1,1800.0,1800.0,1FL 15ML 120MG/ML
044386023,KEYTRUDA*INFUS 1FL 4ML 25MG/ML,23504017.5,True,Validated,parsed:vol_conc,,1,100.0,100.0,1FL 4ML 25MG/ML
041663030,VYNDAQEL*30CPS MOLLI 61MG,19351875.69,True,Validated,parsed:direct_strength,,30,61.0,1830.0,30CPS MOLLI 61MG
048984013,KAFTRIO*56CPR RIV 100+50+75MG,17073819.8,True,Candidate,parsed:single_value_assumed_unit,,1,75.0,75.0,75MG
045889019,OCREVUS*INFUS 1FL 300MG 10ML,16972020.03,True,Validated,parsed:direct_strength,,1,300.0,300.0,1FL 300MG
043519053,KALYDECO*28CPR RIV 150MG,15147450.39,True,Validated,parsed:direct_strength,,28,150.0,4200.0,28CPR RIV 150MG
049328014,ENHERTU*INF 1FL POLV 100MG,11645103.97,True,Validated,parsed:direct_strength,,1,100.0,100.0,1FL POLV 100MG
044291033,OPDIVO*INFUS 1FL 24ML 10MG/ML,11627083.57,True,Validated,parsed:vol_conc,,1,240.0,240.0,1FL 24ML 10MG/ML
042868024,XTANDI*112CPR RIV 40MG,10602090.06,True,Validated,parsed:direct_strength,,112,40.0,4480.0,112CPR RIV 40MG
047525011,ERLEADA*112CPR RIV 60MG,9636774.71,True,Validated,parsed:direct_strength,,112,60.0,6720.0,112CPR RIV 60MG
042682017,PERJETA*EV 1F 420MG 30MG/ML,9211601.92,True,Validated,parsed:direct_strength,,1,420.0,420.0,1F 420MG
043873102,COSENTYX*SC SOLUZ 1PEN 300MG,8845672.4,True,Validated,parsed:direct_strength,,1,300.0,300.0,1PEN 300MG
043217025,TECFIDERA*56CPS 240MG,8682314.49,True,Validated,parsed:direct_strength,,56,240.0,13440.0,56CPS 240MG
044863025,TALTZ*SC 2PEN 1ML 80MG,8246352.17,True,Candidate,parsed:single_value_assumed_unit,,1,80.0,80.0,80MG
044729046,TAGRISSO*28CPR RIV 80MG,7942448.08,True,Validated,parsed:direct_strength,,28,80.0,2240.0,28CPR RIV 80MG
041225095,ELIQUIS*60CPR RIV 5MG,7928455.42,True,Validated,parsed:direct_strength,,60,5.0,300.0,60CPR RIV 5MG
038744189,XARELTO*28CPR RIV 20MG,7674048.63,True,Validated,parsed:direct_strength,,28,20.0,560.0,28CPR RIV 20MG
043783075,"TRULICITY*4PEN 1,5MG 0,5ML",7505823.46,True,Validated,parsed:direct_strength,,4,1.5,6.0,"4PEN 1,5MG"
040108033,PROLIA*SC 1SIR 60MG/ML,7355782.85,False,Unresolved,unresolved,other,,,,
044317030,REPATHA*SC 2PEN 140MG 1ML,7126816.57,True,Validated,parsed:direct_strength,,2,140.0,280.0,2PEN 140MG
035275015,FABRAZYME*IV 1FL 35MG,6982633.71,True,Validated,parsed:direct_strength,,1,35.0,35.0,1FL 35MG
038962181,OSSIGENO*CRIOGEN 31LT MOBILE,6877871.07,False,Unresolved,unresolved,oxygen_gas,,,,
039058045,OSSIGENO*CRIOGEN 31LT MOBILE,6794120.61,False,Unresolved,unresolved,oxygen_gas,,,,
043827029,OFEV*60CPS MOLLI 100MG,6645628.83,True,Validated,parsed:direct_strength,,60,100.0,6000.0,60CPS MOLLI 100MG
044315188,LIXIANA*28CPR RIV 60MG,6619134.45,True,Validated,parsed:direct_strength,,28,60.0,1680.0,28CPR RIV 60MG
048719052,RYBELSUS*30CPR 7MG,6529764.47,True,Validated,parsed:direct_strength,,30,7.0,210.0,30CPR 7MG
045676273,DUPIXENT*SC 2PEN 300MG 2ML,6509617.36,True,Validated,parsed:direct_strength,,2,300.0,600.0,2PEN 300MG
046128056,OZEMPIC*1PEN 1MG/D+4AGHI,6503751.51,False,Unresolved,unresolved,multi_active_combo,,,,
043619030,"XULTOPHY*5PEN 100U/ML+3,6MG/ML",6261199.25,False,Unresolved,unresolved,multi_active_combo,,,,
046773014,BIKTARVY*30CPR 50+200+25MG FL,6201259.69,True,Candidate,parsed:single_value_assumed_unit,,1,25.0,25.0,25MG
040949051,"GILENYA*28CPS 0,5MG",6198298.05,True,Validated,parsed:direct_strength,,28,0.5,14.0,"28CPS 0,5MG"
049429032,"KESIMPTA*SC 1PENNA 20MG 0,4ML",6157102.77,True,Validated,parsed:direct_strength,,1,20.0,20.0,1PENNA 20MG
048905020,REBLOZYL*SC 1FL POLV 75MG,6070710.45,True,Validated,parsed:direct_strength,,1,75.0,75.0,1FL POLV 75MG
045772023,TREMFYA*SC 1PEN 100MG/1ML,5976116.37,False,Unresolved,unresolved,single_dose_device_ambiguous,,,,
042494070,FORXIGA*28CPR RIV 10MG,5913448.08,True,Validated,parsed:direct_strength,,28,10.0,280.0,28CPR RIV 10MG
047821020,SKYRIZI*SC 1PEN 150MG 1ML,5716916.07,True,Validated,parsed:direct_strength,,1,150.0,150.0,1PEN 150MG
043827043,OFEV*60CPS MOLLI 150MG,5659555.87,True,Validated,parsed:direct_strength,,60,150.0,9000.0,60CPS MOLLI 150MG
042510014,EYLEA*INIET 1SIR 40MG/ML,5602825.33,False,Unresolved,unresolved,other,,,,
044891048,IDELVION*EV FL 2000UI+FL 5ML,5500257.68,False,Unresolved,unresolved,other,,,,
045198076,VENCLYXTO*112CPR RIV 100MG,5306938.57,True,Validated,parsed:direct_strength,,112,100.0,11200.0,112CPR RIV 100MG
041225032,"ELIQUIS*60CPR RIV 2,5MG",4960950.68,True,Validated,parsed:direct_strength,,60,2.5,150.0,"60CPR RIV 2,5MG"
044315051,LIXIANA*28CPR RIV 30MG,4901630.81,True,Validated,parsed:direct_strength,,28,30.0,840.0,28CPR RIV 30MG
043867023,OTEZLA*56CPR RIV 30MG,4885818.38,True,Validated,parsed:direct_strength,,56,30.0,1680.0,56CPR RIV 30MG
048059036,ULTOMIRIS*EV 1FL 11ML 100MG/ML,4825375.83,True,Validated,parsed:vol_conc,,1,1100.0,1100.0,1FL 11ML 100MG/ML
049288020,PHESGO*SC 1F 10ML 600MG+600MG,4794302.31,True,Candidate,parsed:single_value_assumed_unit,,1,600.0,600.0,600MG
041157138,HIZENTRA*SC 1FL 50ML 200MG/ML,4666687.0,True,Validated,parsed:vol_conc,,1,10000.0,10000.0,1FL 50ML 200MG/ML
044558017,ENTRESTO*28CPR RIV 24MG+26MG,4665903.41,True,Validated,parsed:direct_strength,,28,24.0,672.0,28CPR RIV 24MG
045104041,"INHIXA*10SIR 4000UI 0,4ML",4597291.38,False,Unresolved,unresolved,other,,,,
043143027,ABILIFY MAINTENA*IM FL 400MG+F,4596611.32,True,Candidate,parsed:single_value_assumed_unit,,1,400.0,400.0,400MG
046130047,HEMLIBRA*SC 150MG/ML 1ML,4394678.72,False,Unresolved,unresolved,other,,,,
049274020,"LEQVIO*SC 1SIR 1,5ML284MG+COPR",4252619.62,True,Candidate,parsed:single_value_assumed_unit,,1,284.0,284.0,284MG
043794041,LYNPARZA*56CPR RIV 150MG,4246091.43,True,Validated,parsed:direct_strength,,56,150.0,8400.0,56CPR RIV 150MG
049782016,BRUKINSA*120CPS 80MG FL,4134846.84,True,Validated,parsed:direct_strength,,120,80.0,9600.0,120CPS 80MG
043174022,OPSUMIT*30CPR RIV 10MG,4117657.85,True,Validated,parsed:direct_strength,,30,10.0,300.0,30CPR RIV 10MG
035373012,"REPLAGAL*EV INF 1MG/ML 3,5ML",3960511.58,False,Unresolved,unresolved,other,,,,
045618055,KISQALI*63CPR RIV 200MG,3954951.24,True,Validated,parsed:direct_strength,,63,200.0,12600.0,63CPR RIV 200MG
039472042,ILARIS*SC 1FL 150MG 1ML,3848941.55,True,Validated,parsed:direct_strength,,1,150.0,150.0,1FL 150MG
048070015,LIBTAYO*INFUS 1FL 350MG,3836843.91,True,Validated,parsed:direct_strength,,1,350.0,350.0,1FL 350MG
047089014,IMFINZI*EV 1FL 10ML 50MG/ML,3775452.68,True,Validated,parsed:vol_conc,,1,500.0,500.0,1FL 10ML 50MG/ML
038744138,XARELTO*42CPR RIV 15MG,3711713.65,True,Validated,parsed:direct_strength,,42,15.0,630.0,42CPR RIV 15MG
050291018,"AMVUTTRA*SC SIR 50MG/ML 0,5ML",3692428.3,False,Unresolved,unresolved,other,,,,
044553016,KYPROLIS*INFUS 1FL 60MG,3670548.75,True,Validated,parsed:direct_strength,,1,60.0,60.0,1FL 60MG
038936047,STELARA*SC 1SIR 1ML 90MG,3641491.05,True,Candidate,parsed:single_value_assumed_unit,,1,90.0,90.0,90MG
044268023,"GARDASIL 9*IM 1SIR 0,5ML+2AGHI",3578790.6,False,Unresolved,unresolved,other,,,,
037150012,TYSABRI*IV FL300MG 15ML20MG/ML,3479113.86,True,Candidate,parsed:single_value_assumed_unit,,1,300.0,300.0,300MG
039541014,"SIMPONI*SC 1PEN 50MG 0,5ML",3459425.62,True,Validated,parsed:direct_strength,,1,50.0,50.0,1PEN 50MG
043443136,JARDIANCE*28CPR RIV 10MG,3444609.26,True,Validated,parsed:direct_strength,,28,10.0,280.0,28CPR RIV 10MG
042226151,JAKAVI*56CPR 10MG,3443471.19,True,Validated,parsed:direct_strength,,56,10.0,560.0,56CPR 10MG
036892089,XOLAIR*SC 1SIR 150MG 1ML,3427451.25,True,Validated,parsed:direct_strength,,1,150.0,150.0,1SIR 150MG
038944423,OSSIGENO*CRIOGEN 20000LT FISSO,3412272.87,False,Unresolved,unresolved,oxygen_gas,,,,
048719088,RYBELSUS*30CPR 14MG,3252888.82,True,Validated,parsed:direct_strength,,30,14.0,420.0,30CPR 14MG
044648032,NUCALA*SC 1PEN 100MG/ML 1ML,3249595.22,False,Unresolved,unresolved,other,,,,
044500080,PRALUENT*SC 2PEN 150MG 1ML,3244711.55,True,Validated,parsed:direct_strength,,2,150.0,300.0,2PEN 150MG
049155031,CALQUENCE*56CPR RIV 100MG,3210863.42,True,Validated,parsed:direct_strength,,56,100.0,5600.0,56CPR RIV 100MG
043442019,ENTYVIO*IV 1FL 300MG,3135889.05,True,Validated,parsed:direct_strength,,1,300.0,300.0,1FL 300MG
042658029,TRESIBA*FLEXT 5PEN 3ML 100U/ML,3112263.28,False,Unresolved,unresolved,other,,,,
028581015,AMBISOME LIPOSOM*EV 10FL 50MG,3104256.12,True,Authoritative,aifa_ingredient_authoritative,,,,50.0,AMFOTERICINA B 50milligrammi
043693050,IMBRUVICA*30CPR RIV 420MG,3014841.79,True,Validated,parsed:direct_strength,,30,420.0,12600.0,30CPR RIV 420MG
038083010,SOLIRIS*EV 1FL 300MG 30ML,2936483.46,True,Validated,parsed:direct_strength,,1,300.0,300.0,1FL 300MG
039539059,CIMZIA*SC 2PEN 200MG 1ML+2SALV,2920708.5,True,Validated,parsed:direct_strength,,2,200.0,400.0,2PEN 200MG
048059024,ULTOMIRIS*EV 1FL 3ML 100MG/ML,2900453.63,True,Validated,parsed:vol_conc,,1,300.0,300.0,1FL 3ML 100MG/ML
044386035,KEYTRUDA*INFUS 2FL 4ML 25MG/ML,2887460.57,True,Validated,parsed:vol_conc,,2,100.0,200.0,2FL 4ML 25MG/ML
048668026,NUSTENDI*28CPR RIV 180MG+10MG,2865238.13,True,Validated,parsed:direct_strength,,28,180.0,5040.0,28CPR RIV 180MG
034088031,CEREZYME*IV 1FL 400U/10ML,2820965.19,False,Unresolved,unresolved,other,,,,
038962193,OSSIGENO*CRIOGEN 37LT MOBILE,2794897.93,False,Unresolved,unresolved,oxygen_gas,,,,
026999058,"DECAPEPTYL*IM 11,25MG+2ML+1SIR",2791864.63,True,Authoritative,aifa_ingredient_authoritative,,,,15.0,TRIPTORELINA EMBONATO 15milligrammi
045267010,ALECENSA*224CPS 150MG,2776076.7,True,Validated,parsed:direct_strength,,224,150.0,33600.0,224CPS 150MG
045613015,BAVENCIO*EV 1FL 10ML 20MG/ML,2755209.25,True,Validated,parsed:vol_conc,,1,200.0,200.0,1FL 10ML 20MG/ML
047418049,"JIVI*EV FL 2000UI+SIR 2,5ML",2736136.75,False,Unresolved,unresolved,other,,,,
045660014,SYMTUZA*30CPR 800+150+200+10MG,2714915.9,True,Candidate,parsed:single_value_assumed_unit,,1,10.0,10.0,10MG
046128031,"OZEMPIC*1PEN 0,5MG/D+4AGHI",2712350.4,False,Unresolved,unresolved,multi_active_combo,,,,
047091145,VERZENIOS*28CPR RIV 150MG,2710948.41,True,Validated,parsed:direct_strength,,28,150.0,4200.0,28CPR RIV 150MG
042226086,JAKAVI*56CPR 15MG,2706855.15,True,Validated,parsed:direct_strength,,56,15.0,840.0,56CPR 15MG
045590015,TECENTRIQ*INFUS 1200MG 20ML,2677824.33,True,Candidate,parsed:single_value_assumed_unit,,1,1200.0,1200.0,1200MG
043192347,"TOUJEO*SOLOS 3PEN 300U/ML1,5ML",2653868.35,False,Unresolved,unresolved,other,,,,
049370012,"EVRYSDI*1FL 0,75MG/ML+5SIR",2596577.32,False,Unresolved,unresolved,multi_active_combo,,,,
041157102,HIZENTRA*SC 1FL 20ML 200MG/ML,2594606.92,True,Validated,parsed:vol_conc,,1,4000.0,4000.0,1FL 20ML 200MG/ML
045618030,KISQALI*42CPR RIV 200MG,2581964.82,True,Validated,parsed:direct_strength,,42,200.0,8400.0,42CPR RIV 200MG
042923045,TAFINLAR*120CPS 75MG FL,2565850.06,True,Validated,parsed:direct_strength,,120,75.0,9000.0,120CPS 75MG
047091121,VERZENIOS*28CPR RIV 100MG,2550778.83,True,Validated,parsed:direct_strength,,28,100.0,2800.0,28CPR RIV 100MG
048773055,"ZOLGENSMA*EV 2FL5,5ML+2FL8,3ML",2512875.33,False,Unresolved,unresolved,other,,,,
046337022,"SHINGRIX*IM 10FL 50MCG 0,5ML",2485022.91,True,Validated,parsed:direct_strength,,10,0.05,0.5,10FL 50MCG
047417047,TAKHZYRO*SC 1SIR 300MG 2ML,2473539.76,True,Validated,parsed:direct_strength,,1,300.0,300.0,1SIR 300MG
048854020,VEKLURY*EV 1FL 100MG POLV,2464251.92,True,Validated,parsed:direct_strength,,1,100.0,100.0,1FL 100MG
045260104,OLUMIANT*28CPR RIV 4MG,2457699.52,True,Validated,parsed:direct_strength,,28,4.0,112.0,28CPR RIV 4MG
042448011,ADCETRIS*1FL EV 50MG POLV,2415177.56,True,Validated,parsed:direct_strength,,1,50.0,50.0,1FL EV 50MG
028282871,IOMERON 400*IV 500ML 400MG/ML,2379528.8,False,Unresolved,unresolved,other,,,,
039712017,PRIVIGEN*EV 1FL 50ML 100MG/ML,2370402.29,True,Validated,parsed:vol_conc,,1,5000.0,5000.0,1FL 50ML 100MG/ML
039827050,REVOLADE*28CPR RIV 50MG,2341832.38,True,Validated,parsed:direct_strength,,28,50.0,1400.0,28CPR RIV 50MG
038190512,BINOCRIT*1SIR40.000UI 1ML+DISP,2316689.14,False,Unresolved,unresolved,other,,,,
036885034,DUODOPA*7FL 10ML 240MG+12MG/ML,2298619.24,True,Candidate,parsed:single_value_assumed_unit,,1,240.0,240.0,240MG
045936147,ADYNOVI*EV 2000UI+FL SOLV 5ML,2289030.66,False,Unresolved,unresolved,other,,,,
048617031,SARCLISA*EV FL 500MG/25ML,2288391.76,False,Unresolved,unresolved,other,,,,
048722019,FETCROJA*10FL EV 1G POLV,2247058.88,True,Validated,parsed:direct_strength,,10,1000.0,10000.0,10FL EV 1G
045676172,DUPIXENT*SC 1PEN 300MG 2ML,2242274.6,True,Validated,parsed:direct_strength,,1,300.0,300.0,1PEN 300MG
043873052,COSENTYX*SC SOLUZ 2PEN 150MG,2198557.38,True,Validated,parsed:direct_strength,,2,150.0,300.0,2PEN 150MG
044500027,PRALUENT*SC 2PEN 75MG 1ML,2194369.44,True,Validated,parsed:direct_strength,,2,75.0,150.0,2PEN 75MG
049693068,BIMZELX*SC 2PEN 1ML 160MG/ML,2177098.43,True,Validated,parsed:vol_conc,,2,160.0,320.0,2PEN 1ML 160MG/ML
038937088,"ROACTEMRA*SC 4SIR 162MG 0,9ML",2174460.37,True,Validated,parsed:direct_strength,,4,162.0,648.0,4SIR 162MG
048083051,ESPEROCT*IV 1FL 3000UI+SIR PRE,2101695.51,False,Unresolved,unresolved,other,,,,
046995015,YESCARTA*EV 1 SACCA,2077627.2,False,Unresolved,unresolved,other,,,,
048610012,NUBEQA*112CPR RIV 300MG,2064289.89,True,Validated,parsed:direct_strength,,112,300.0,33600.0,112CPR RIV 300MG
037989086,ORENCIA*SC 4SIR 125MG/ML,2041602.74,False,Unresolved,unresolved,other,,,,
044500193,PRALUENT*SC 1PEN 300MG 2ML,1989149.9,True,Validated,parsed:direct_strength,,1,300.0,300.0,1PEN 300MG
047426010,DELSTRIGO*30CPR 100+300+245MG,1957211.35,True,Candidate,parsed:single_value_assumed_unit,,1,245.0,245.0,245MG
036584035,ERBITUX*INFUS 1FL 20ML 5MG/ML,1954494.6,True,Validated,parsed:vol_conc,,1,100.0,100.0,1FL 20ML 5MG/ML
045676069,DUPIXENT*SC 2SIR 300MG 2ML,1926825.91,True,Validated,parsed:direct_strength,,2,300.0,600.0,2SIR 300MG
050231012,"VABYSMO*1FL 120MG/ML 0,24ML",1918231.52,False,Unresolved,unresolved,other,,,,
042687018,"BEXSERO*IM 1SIR 0,5ML+AGO",1907664.89,False,Unresolved,unresolved,other,,,,
045931019,FASENRA*SC 1SIR 1ML 30MG/ML,1899393.05,True,Validated,parsed:vol_conc,,1,30.0,30.0,1SIR 1ML 30MG/ML
039541038,"SIMPONI*SC 1SIR 50MG 0,5ML",1873418.62,True,Validated,parsed:direct_strength,,1,50.0,50.0,1SIR 50MG
030902365,"SODIO CLORURO*0,9% 20FL 100ML",1833933.18,False,Unresolved,unresolved,other,,,,
026999021,"DECAPEPTYL*IM FL3,75MG+2ML+SIR",1826798.68,True,Authoritative,aifa_ingredient_authoritative,,,,3.75,TRIPTORELINA 3.75milligrammi
029399134,IPSTYL*SC SIR 120MG,1823399.45,True,Authoritative,aifa_ingredient_authoritative,,,,120.0,LANREOTIDE 120milligrammi
042853059,ICLUSIG*30CPR RIV 15MG FL,1811268.74,True,Validated,parsed:direct_strength,,30,15.0,450.0,30CPR RIV 15MG
048058034,DOVATO*30CPR RIV 50MG+300MG,1777524.52,True,Validated,parsed:direct_strength,,30,50.0,1500.0,30CPR RIV 50MG
050357514,MOUNJARO*4DOSI DA 5MG 1KWIKPEN,1763249.41,True,Candidate,parsed:single_value_assumed_unit,,1,5.0,5.0,5MG
036885010,DUODOPA*7SA 100ML 20MG+5MG/ML,1760678.62,True,Candidate,parsed:single_value_assumed_unit,,1,20.0,20.0,20MG
043092016,KADCYLA*INF 1FL POLV 100MG 5ML,1756120.47,True,Validated,parsed:direct_strength,,1,100.0,100.0,1FL POLV 100MG
040251035,FERINJECT*INF 1FL 10ML 50MG/ML,1747115.42,True,Validated,parsed:vol_conc,,1,500.0,500.0,1FL 10ML 50MG/ML
027083106,SANDOSTATINA LAR*FL 30MG+SIR,1734436.97,True,Authoritative,aifa_ingredient_authoritative,,,,33.6,OCTREOTIDE ACETATO 33.6milligrammi
040138012,OZURDEX*IMP INTRAVIT 700MCG+AP,1700423.36,True,Candidate,parsed:single_value_assumed_unit,,1,0.7,0.7,700MCG
034949026,HERCEPTIN*SC 1FL 600MG 5ML,1699471.78,True,Validated,parsed:direct_strength,,1,600.0,600.0,1FL 600MG
047822010,ONDEXXYA*EV POLV 4FL 200MG,1658022.24,True,Validated,parsed:direct_strength,,4,200.0,800.0,4FL 200MG
045676184,DUPIXENT*SC 2PEN 300MG 2ML,1626879.89,True,Validated,parsed:direct_strength,,2,300.0,600.0,2PEN 300MG
048797031,FLUAD TETRA*10SIR+AGO 24-25,1618980.0,False,Unresolved,unresolved,other,,,,
044928012,EPCLUSA*28CPR RIV 400+100MG FL,1612449.45,True,Candidate,parsed:single_value_assumed_unit,,1,100.0,100.0,100MG
026863163,"SAIZEN*1CART 8MG/ML 1,50ML",1604008.18,True,Authoritative,aifa_ingredient_authoritative,,,,8.0,SOMATROPINA 8milligrammi
043208091,XIGDUO*56CPR RIV 5MG+1000MG,1594199.7,True,Validated,parsed:direct_strength,,56,5.0,280.0,56CPR RIV 5MG
037709019,PROLASTIN*EV 1F 1000MG+1F 40ML,1589021.79,True,Validated,parsed:direct_strength,,1,1000.0,1000.0,1F 1000MG
046130035,"HEMLIBRA*SC 150MG/ML 0,7ML",1573093.27,False,Unresolved,unresolved,other,,,,
037150024,TYSABRI*SC 2SIR 1ML 150MG/ML,1572989.14,True,Validated,parsed:vol_conc,,2,150.0,300.0,2SIR 1ML 150MG/ML
042921027,AUBAGIO*28CPR RIV 14MG,1572843.85,True,Validated,parsed:direct_strength,,28,14.0,392.0,28CPR RIV 14MG
045488032,REFIXIA*EV 1FL 2000UI+SIR4ML+S,1564662.0,False,Unresolved,unresolved,other,,,,
046638019,JULUCA*30CPR RIV 50+25MG FL,1552175.72,True,Candidate,parsed:single_value_assumed_unit,,1,25.0,25.0,25MG
044931018,"ZAVICEFTA*EV INFUS 10F 2G+0,5G",1548887.38,True,Validated,parsed:direct_strength,,10,2000.0,20000.0,10F 2G
048251019,EPIDYOLEX*OS SOLUZ 10G 100ML,1541794.08,True,Candidate,parsed:single_value_assumed_unit,,1,10000.0,10000.0,10G
038347035,VECTIBIX*INFUS FL 20ML 20MG/ML,1540486.35,True,Candidate,parsed:implied_unit_vol_conc,,1,400.0,400.0,FL 20ML 20MG/ML
046130023,"HEMLIBRA*SC 150MG/ML 0,4ML",1528119.15,False,Unresolved,unresolved,other,,,,
027015282,EPREX*1SIR 40000UI 1ML,1524467.14,False,Unresolved,unresolved,other,,,,
044691020,BENEPALI*4PEN 50MG 1ML,1518885.93,True,Validated,parsed:direct_strength,,4,50.0,200.0,4PEN 50MG
037149010,GLUSCAN*1FL 600MBQ/ML 10ML,1507466.27,False,Unresolved,unresolved,other,,,,
043524065,MEKINIST*30CPR RIV 2MG FL,1504671.43,True,Validated,parsed:direct_strength,,30,2.0,60.0,30CPR RIV 2MG
048984025,"KAFTRIO*56CPR RIV 37,5+25+50MG",1504519.64,True,Candidate,parsed:single_value_assumed_unit,,1,50.0,50.0,50MG
039827023,REVOLADE*28CPR RIV 25MG,1494441.83,True,Validated,parsed:direct_strength,,28,25.0,700.0,28CPR RIV 25MG
024748042,PROVERTINUM*EV FL 600UI,1489210.47,False,Unresolved,unresolved,other,,,,
040546044,BRILIQUE*56CPR RIV 90MG,1481870.54,True,Validated,parsed:direct_strength,,56,90.0,5040.0,56CPR RIV 90MG
046989012,CABLIVI*SC EV 1FL 10MG+1SIR1ML,1480545.35,True,Validated,parsed:direct_strength,,1,10.0,10.0,1FL 10MG
049692027,"VOXZOGO*SC 10FL 0,56MG",1466986.41,True,Validated,parsed:direct_strength,,10,0.56,5.6,"10FL 0,56MG"
045106046,CABOMETYX*30CPR RIV 40MG FL,1450305.76,True,Validated,parsed:direct_strength,,30,40.0,1200.0,30CPR RIV 40MG
043693062,IMBRUVICA*30CPR RIV 560MG,1447287.38,True,Validated,parsed:direct_strength,,30,560.0,16800.0,30CPR RIV 560MG
049825058,"VAXNEUVANCE*IM 1SIR 0,5ML+2AGH",1446557.21,False,Unresolved,unresolved,other,,,,
041300017,"XGEVA*SC 1FL 120MG 1,7ML",1429358.0,True,Validated,parsed:direct_strength,,1,120.0,120.0,1FL 120MG
048719025,RYBELSUS*30CPR 3MG,1422319.38,True,Validated,parsed:direct_strength,,30,3.0,90.0,30CPR 3MG
048818025,"ZEPOSIA*28CPS 0,92MG",1420939.18,True,Validated,parsed:direct_strength,,28,0.92,25.76,"28CPS 0,92MG"
028687034,RECOMBINATE*EV 1000UI+FL 10ML,1413065.5,False,Unresolved,unresolved,other,,,,
047422011,VABOREM*EV 6FL 1G+1G,1412717.84,True,Validated,parsed:direct_strength,,6,1000.0,6000.0,6FL 1G
043066012,"DEFITELIO*10FL 2,5ML 80MG/ML",1396428.0,True,Validated,parsed:vol_conc,,10,200.0,2000.0,"10FL 2,5ML 80MG/ML"
037989112,ORENCIA*SC 4PEN 125MG/ML CLICK,1391549.27,False,Unresolved,unresolved,other,,,,
027066137,"ENANTONE*IM SC SIR11,25MG/MLRP",1381074.55,False,Unresolved,unresolved,other,,,,
042226112,JAKAVI*56CPR 20MG,1369884.88,True,Validated,parsed:direct_strength,,56,20.0,1120.0,56CPR 20MG
045931021,FASENRA*SC 1PEN 1ML 30MG/ML,1364784.36,True,Validated,parsed:vol_conc,,1,30.0,30.0,1PEN 1ML 30MG/ML
043693100,IMBRUVICA*30CPR RIV 280MG,1352942.88,True,Validated,parsed:direct_strength,,30,280.0,8400.0,30CPR RIV 280MG
050184011,NEXVIADYME*EV 1FL 100MG POLV,1351421.84,True,Validated,parsed:direct_strength,,1,100.0,100.0,1FL 100MG
044558031,ENTRESTO*56CPR RIV 49MG+51MG,1336957.13,True,Validated,parsed:direct_strength,,56,49.0,2744.0,56CPR RIV 49MG
042226050,JAKAVI*56CPR 5MG,1328895.75,True,Validated,parsed:direct_strength,,56,5.0,280.0,56CPR 5MG
038936035,"STELARA*SC 1SIR 0,5ML 45MG",1324411.99,True,Candidate,parsed:single_value_assumed_unit,,1,45.0,45.0,45MG
045320037,XELJANZ*56CPR RIV 5MG,1319561.64,True,Validated,parsed:direct_strength,,56,5.0,280.0,56CPR RIV 5MG
051753034,"FLUAD*IM 10SIR 0,5ML 2025-2026",1316865.0,False,Unresolved,unresolved,other,,,,
028282376,IOMERON 400*IV FL 200ML,1315515.16,False,Unresolved,unresolved,other,,,,
043783024,"TRULICITY*4PEN 0,75MG 0,5ML",1314742.1,True,Validated,parsed:direct_strength,,4,0.75,3.0,"4PEN 0,75MG"
048399012,RINVOQ*28CPR 15MG RP,1303953.07,True,Validated,parsed:direct_strength,,28,15.0,420.0,28CPR 15MG
044930016,ODEFSEY*30CPR 200+25+25MG FL,1290363.89,True,Candidate,parsed:single_value_assumed_unit,,1,25.0,25.0,25MG
035724246,LANTUS*SOLOST 5PEN 100U/ML 3ML,1287492.3,False,Unresolved,unresolved,other,,,,
038451074,PRADAXA*60CPS 110MG,1281666.81,True,Validated,parsed:direct_strength,,60,110.0,6600.0,60CPS 110MG
030902391,"SODIO CLORURO*0,9% 10FL 500ML",1278924.72,False,Unresolved,unresolved,other,,,,
047791013,"AJOVY*SC 1SIR 1,5ML 225MG",1248231.48,True,Candidate,parsed:single_value_assumed_unit,,1,225.0,225.0,225MG
045445018,MAVIRET*84CPR RIV 100MG+40MG,1248164.16,True,Validated,parsed:direct_strength,,84,100.0,8400.0,84CPR RIV 100MG
027066125,"ENANTONE*IM SC SIR3,75MG/ML RP",1236028.42,False,Unresolved,unresolved,other,,,,
048058010,DOVATO*30CPR RIV 50MG+300MG FL,1219855.01,True,Validated,parsed:direct_strength,,30,50.0,1500.0,30CPR RIV 50MG
045172107,IBRANCE*21CPR RIV 75MG,1218961.98,True,Validated,parsed:direct_strength,,21,75.0,1575.0,21CPR RIV 75MG
047198027,BRAFTOVI*42CPS 75MG,1209107.91,True,Validated,parsed:direct_strength,,42,75.0,3150.0,42CPS 75MG
049148012,TECARTUS*EV 1 SACCA,1197256.5,False,Unresolved,unresolved,other,,,,
048721029,NILEMDO*28CPR RIV 180MG,1189826.56,True,Validated,parsed:direct_strength,,28,180.0,5040.0,28CPR RIV 180MG
044563070,ELOCTA*IV 1FL 2000UI+SIR PRERI,1185760.17,False,Unresolved,unresolved,other,,,,
045104066,"INHIXA*10SIR 6000UI 0,6ML",1168092.56,False,Unresolved,unresolved,other,,,,
050403029,"BEYFORTUS*IM 1SIR0,5ML100MG/ML",1153538.13,True,Validated,parsed:vol_conc,,1,50.0,50.0,"1SIR0,5ML100MG/ML"
